Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
5854;Burtigny;103;415;70.8
5855;Dully;104;633;382.8
5856;Essertines-sur-Rolle;97;754;105.7
5857;Gilly;347;1435;184.5
5858;Luins;184;629;234.5
5859;Mont-sur-Rolle;539;2750;690.4
5860;Perroy;450;1515;528.9
5861;Rolle;4284;6289;2310
5862;Tartegnin;97;241;218.3
5863;Vinzel;102;369;353.2
5871;L'Abbaye;733;1516;46.2
5872;Le Chenit;6169;4565;46.3
5873;Le Lieu;666;882;27.3
5882;Chardonne;748;3072;300.8
5883;Corseaux;417;2326;2163.6
5884;Corsier-sur-Vevey;1744;3392;508
5885;Jongny;227;1804;777.2
5886;Montreux;11987;25949;779.7
5889;La Tour-de-Peilz;3719;12213;3690.5
5890;Vevey;13283;19683;8334.2
5891;Veytaux;218;948;140.6
5892;Blonay - Saint-Légier;4373;11909;374.9
5902;Belmont-sur-Yverdon;71;415;61.1
5903;Bioley-Magnoux;47;234;53.4
5904;Chamblon;234;560;195.8
5905;Champvent;334;715;77.3
5907;Chavannes-le-Chêne;46;325;80.8
5908;Chêne-Pâquier;46;150;69.1
5909;Cheseaux-Noréaz;287;726;124.6
5910;Cronay;77;403;60.2
5911;Cuarny;59;245;50.4
5912;Démoret;72;164;36.8
5913;Donneloye;146;891;92.3
5914;Ependes (VD);85;382;81
5919;Mathod;132;654;98.5
5921;Molondin;111;239;45.7
5922;Montagny-près-Yverdon;1985;778;210.3
5923;Oppens;236;201;56.4
5924;Orges;119;367;84.7
5925;Orzens;57;201;47.7
5926;Pomy;209;838;144.1
5928;Rovray;42;204;62.5
5929;Suchy;129;655;98.2
5930;Suscévaz;32;215;49.4
5931;Treycovagnes;81;488;234.3
5932;Ursins;27;228;70.5
5933;Valeyres-sous-Montagny;128;696;315.5
5934;Valeyres-sous-Ursins;44;247;84.3
5935;Villars-Epeney;18;94;113.6
5937;Vugelles-La Mothe;26;140;44.7
5938;Yverdon-les-Bains;20219;29662;2214
5939;Yvonand;1042;3507;260.7
6601;Aire-la-Ville;465;1136;402.8
6602;Anières;483;2441;623.3
6603;Avully;214;1720;380.1
6604;Avusy;222;1368;269.1
6605;Bardonnex;923;2491;477.3
6606;Bellevue;1318;3548;791.6
6607;Bernex;2956;10231;790.9
6608;Carouge (GE);25824;22305;8504.2
6609;Cartigny;245;1013;219.7
6610;Céligny;97;823;169.6
6611;Chancy;156;1688;316.9
6612;Chêne-Bougeries;4987;13109;3048.6
6613;Chêne-Bourg;2971;8884;6977
6614;Choulex;159;1191;301.5
6615;Collex-Bossy;238;1704;245.8
6616;Collonge-Bellerive;4657;8540;1375.4
6617;Cologny;2208;5913;1594
6618;Confignon;1260;4562;1659.1
6619;Corsier (GE);337;2296;819.6
6620;Dardagny;723;1849;215.7
6621;Genève;199692;203401;12821.1
6622;Genthod;820;2875;1029.5
6623;Le Grand-Saconnex;13593;12496;2839
6624;Gy;117;474;147.8
